,day,value
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,0.0
25,25,0.0
26,26,0.0
27,27,0.0
28,28,0.0
29,29,0.0
30,30,0.0
31,31,0.0
32,32,0.0
33,33,0.0
34,34,0.0
35,35,0.0
36,36,0.0
37,37,0.0
38,38,0.0
39,39,0.0
40,40,0.0
41,41,0.0
42,42,0.0
43,43,0.0
44,44,0.0
45,45,0.0
46,46,0.0
47,47,0.0
48,48,0.0
49,49,0.0
50,50,0.0
51,51,0.0
52,52,0.0
53,53,0.0
54,54,0.0
55,55,0.0
56,56,0.0
57,57,0.0
58,58,0.0
59,59,0.0
60,60,0.0
61,61,0.0
62,62,0.0
63,63,0.0
64,64,0.0
65,65,0.0
66,66,0.0
67,67,0.0
68,68,0.0
69,69,0.0
70,70,0.0
71,71,0.0
72,72,0.0
73,73,0.0
74,74,0.0
75,75,0.0
76,76,0.0
77,77,0.0
78,78,0.0
79,79,0.0
80,80,0.0
81,81,0.0
82,82,0.0
83,83,0.0
84,84,0.0
85,85,0.0
86,86,0.0
87,87,0.0
88,88,0.0
89,89,0.0
90,90,0.0
91,91,0.0
92,92,0.0
93,93,0.0
94,94,0.0
95,95,0.0
96,96,0.0
97,97,0.0
98,98,0.0
99,99,0.0
100,100,0.0
101,101,0.0
102,102,0.0
103,103,0.0
104,104,0.0
105,105,0.0
106,106,0.0
107,107,0.0
108,108,0.0
109,109,0.0
110,110,0.0
111,111,0.0
112,112,0.0
113,113,0.0
114,114,0.0
115,115,14.54
116,116,0.0
117,117,0.0
118,118,0.0
119,119,6.58
120,120,0.0
121,121,0.0
122,122,0.0
123,123,14.8
124,124,0.0
125,125,0.0
126,126,0.0
127,127,0.0
128,128,0.0
129,129,0.0
130,130,0.0
131,131,0.0
132,132,0.0
133,133,39.28
134,134,3.98
135,135,0.0
136,136,0.0
137,137,0.0
138,138,0.0
139,139,0.0
140,140,0.0
141,141,0.0
142,142,30.25
143,143,0.0
144,144,0.0
145,145,0.0
146,146,0.0
147,147,0.0
148,148,1.5
149,149,0.0
150,150,0.0
151,151,0.0
152,152,0.0
153,153,0.0
154,154,0.0
155,155,0.0
156,156,0.0
157,157,0.0
158,158,18.05
159,159,0.0
160,160,0.0
161,161,0.0
162,162,0.0
163,163,0.0
164,164,0.0
165,165,0.0
166,166,0.0
167,167,0.0
168,168,0.0
169,169,0.0
170,170,0.0
171,171,26.06
172,172,11.18
173,173,0.0
174,174,0.0
175,175,0.0
176,176,0.0
177,177,0.0
178,178,5.390000000000001
179,179,0.0
180,180,0.0
181,181,0.0
182,182,7.6000000000000005
183,183,21.160000000000004
184,184,0.0
185,185,0.0
186,186,0.0
187,187,0.0
188,188,2.92
189,189,0.0
190,190,0.0
191,191,0.0
192,192,0.0
193,193,0.0
194,194,0.0
195,195,2.29
196,196,0.0
197,197,0.0
198,198,0.0
199,199,0.0
200,200,0.0
201,201,0.0
202,202,0.0
203,203,0.0
204,204,0.0
205,205,0.0
206,206,0.0
207,207,0.0
208,208,0.0
209,209,0.0
210,210,0.0
211,211,0.0
212,212,62.870000000000005
213,213,0.0
214,214,0.0
215,215,0.0
216,216,0.0
217,217,4.92
218,218,0.0
219,219,0.0
220,220,34.71
221,221,0.0
222,222,0.0
223,223,0.0
224,224,7.0
225,225,0.0
226,226,0.0
227,227,0.0
228,228,0.0
229,229,0.0
230,230,0.0
231,231,0.0
232,232,1.9899999999999998
233,233,0.0
234,234,0.0
235,235,0.0
236,236,0.0
237,237,0.0
238,238,2.99
239,239,0.0
240,240,0.0
241,241,4.93
242,242,0.0
243,243,0.0
244,244,0.0
245,245,37.31
246,246,0.0
247,247,0.0
248,248,0.0
249,249,6.6899999999999995
250,250,0.0
251,251,0.0
252,252,0.88
253,253,0.0
254,254,0.0
255,255,0.0
256,256,0.0
257,257,0.0
258,258,1.61
259,259,0.0
260,260,0.0
261,261,0.0
262,262,26.479999999999997
263,263,0.0
264,264,0.0
265,265,0.0
266,266,0.0
267,267,0.0
268,268,0.0
269,269,0.0
270,270,0.0
271,271,0.0
272,272,0.0
273,273,0.0
274,274,0.0
275,275,0.0
276,276,0.0
277,277,0.0
278,278,0.0
279,279,0.0
280,280,0.0
281,281,0.0
282,282,19.75
283,283,0.0
284,284,0.0
285,285,0.0
286,286,0.0
287,287,0.0
288,288,0.0
289,289,45.72
290,290,0.0
291,291,0.0
292,292,0.0
293,293,0.0
294,294,0.0
295,295,0.0
296,296,0.0
297,297,0.0
298,298,0.0
299,299,0.0
300,300,0.0
301,301,10.68
302,302,0.0
303,303,0.0
304,304,0.0
305,305,0.0
306,306,0.0
307,307,0.0
308,308,0.0
309,309,0.0
310,310,6.970000000000001
311,311,0.0
312,312,0.0
313,313,0.0
314,314,0.0
315,315,1.9
316,316,0.0
317,317,0.0
318,318,0.0
319,319,0.0
320,320,0.0
321,321,16.330000000000002
322,322,0.0
323,323,0.0
324,324,12.44
325,325,0.0
326,326,0.0
327,327,0.0
328,328,0.0
329,329,0.0
330,330,0.0
331,331,0.0
332,332,1.9
333,333,0.0
334,334,2.99
335,335,0.0
336,336,0.0
337,337,0.99
338,338,45.39
339,339,0.0
340,340,0.0
341,341,0.0
342,342,0.0
343,343,0.0
344,344,0.0
345,345,29.36
346,346,0.0
347,347,0.0
348,348,0.0
349,349,0.0
350,350,0.0
351,351,0.0
352,352,10.32
353,353,0.0
354,354,0.0
355,355,0.0
356,356,0.0
357,357,2.9
358,358,0.0
359,359,0.0
360,360,3.38
361,361,0.0
362,362,0.0
363,363,0.0
364,364,41.46000000000001
365,365,0.0
366,366,0.0
367,367,13.0
368,368,0.0
369,369,7.87
370,370,0.0
371,371,0.0
372,372,0.0
373,373,0.0
374,374,55.33
375,375,0.0
376,376,0.0
377,377,18.18
378,378,0.0
379,379,0.0
380,380,0.0
381,381,0.0
382,382,11.68
383,383,0.0
384,384,4.66
385,385,0.0
386,386,0.0
387,387,0.0
388,388,0.0
389,389,0.0
390,390,0.0
391,391,0.0
392,392,9.67
393,393,0.0
394,394,0.0
395,395,0.0
396,396,0.0
397,397,0.0
398,398,0.0
399,399,0.0
400,400,0.0
401,401,15.91
402,402,0.0
403,403,0.0
404,404,0.0
405,405,0.88
406,406,0.0
407,407,10.38
408,408,0.0
409,409,0.0
410,410,0.0
411,411,0.0
412,412,0.0
413,413,0.0
414,414,1.9
415,415,0.99
416,416,0.0
417,417,0.0
418,418,0.0
419,419,0.0
420,420,10.649999999999999
421,421,0.0
422,422,10.16
423,423,0.0
424,424,0.0
425,425,0.0
426,426,0.0
427,427,0.0
428,428,19.160000000000004
429,429,0.0
430,430,0.0
431,431,35.14
432,432,0.0
433,433,0.0
434,434,10.419999999999998
435,435,24.04
436,436,0.0
437,437,0.0
438,438,34.08
439,439,0.0
440,440,0.0
441,441,0.0
442,442,0.0
443,443,0.0
444,444,0.0
445,445,8.29
446,446,0.0
447,447,0.0
448,448,0.0
449,449,0.0
450,450,29.000000000000004
451,451,0.0
452,452,0.0
453,453,0.0
454,454,4.0
455,455,0.0
456,456,13.120000000000001
457,457,0.0
458,458,0.0
459,459,0.0
460,460,0.0
461,461,0.0
462,462,9.870000000000001
463,463,0.0
464,464,0.0
465,465,0.0
466,466,0.0
467,467,0.0
468,468,32.980000000000004
469,469,0.0
470,470,0.0
471,471,34.64
472,472,37.9
473,473,0.0
474,474,0.0
475,475,0.0
476,476,0.0
477,477,0.0
478,478,42.47
479,479,6.99
480,480,0.0
481,481,0.0
482,482,5.68
483,483,0.0
484,484,39.14
485,485,0.0
486,486,0.0
487,487,0.0
488,488,0.0
489,489,0.0
490,490,0.0
491,491,2.0
492,492,0.0
493,493,0.0
494,494,0.0
495,495,0.0
496,496,0.99
497,497,0.0
498,498,0.0
499,499,28.97
500,500,4.0
501,501,0.0
502,502,0.0
503,503,0.0
504,504,0.0
505,505,0.0
506,506,0.0
507,507,8.58
508,508,0.0
509,509,0.0
510,510,0.0
511,511,15.729999999999999
512,512,0.0
513,513,0.0
514,514,0.0
515,515,0.0
516,516,33.06
517,517,0.0
518,518,0.0
519,519,0.0
520,520,0.0
521,521,0.0
522,522,0.0
523,523,0.0
524,524,0.0
525,525,0.0
526,526,0.0
527,527,0.0
528,528,0.0
529,529,0.0
530,530,0.0
531,531,0.0
532,532,0.0
533,533,0.0
534,534,0.0
535,535,0.0
536,536,0.0
537,537,0.0
538,538,0.0
539,539,0.0
540,540,0.0
541,541,0.0
542,542,0.0
543,543,0.0
544,544,0.0
545,545,0.0
546,546,0.0
547,547,15.030000000000001
548,548,0.0
549,549,0.0
550,550,0.0
551,551,0.0
552,552,0.0
553,553,0.0
554,554,0.0
555,555,0.0
556,556,0.0
557,557,0.0
558,558,0.0
559,559,0.0
560,560,0.0
561,561,0.0
562,562,0.0
563,563,0.0
564,564,4.47
565,565,0.0
566,566,0.0
567,567,2.5
568,568,10.97
569,569,0.0
570,570,0.0
571,571,0.0
572,572,0.0
573,573,0.0
574,574,0.0
575,575,0.0
576,576,0.0
577,577,0.0
578,578,0.0
579,579,0.0
580,580,0.0
581,581,2.5
582,582,0.0
583,583,0.0
584,584,0.0
585,585,0.0
586,586,0.0
587,587,0.0
588,588,0.0
589,589,0.0
590,590,0.0
591,591,0.0
592,592,0.0
593,593,0.0
594,594,0.0
595,595,0.0
596,596,0.99
597,597,0.0
598,598,0.0
599,599,0.0
600,600,0.0
601,601,0.0
602,602,9.190000000000001
603,603,0.0
604,604,0.0
605,605,0.0
606,606,14.37
607,607,0.0
608,608,17.8
609,609,0.0
610,610,2.79
611,611,0.0
612,612,0.0
613,613,0.0
614,614,0.0
615,615,0.0
616,616,0.0
617,617,0.0
618,618,21.88
619,619,5.0
620,620,0.0
621,621,0.0
622,622,0.0
623,623,0.0
624,624,0.0
625,625,0.0
626,626,0.0
627,627,0.0
628,628,4.62
629,629,0.0
630,630,0.0
631,631,0.0
632,632,0.0
633,633,0.0
634,634,0.0
635,635,25.37
636,636,0.0
637,637,0.0
638,638,0.0
639,639,0.0
640,640,0.0
641,641,0.0
642,642,0.0
643,643,0.0
644,644,0.0
645,645,0.0
646,646,0.0
647,647,0.0
648,648,0.0
649,649,0.0
650,650,21.029999999999998
651,651,0.0
652,652,0.0
653,653,28.630000000000003
654,654,0.0
655,655,0.0
656,656,0.0
657,657,0.0
658,658,23.979999999999997
659,659,0.0
660,660,43.76
661,661,0.0
662,662,0.0
663,663,0.0
664,664,0.0
665,665,0.0
666,666,0.0
667,667,1.0
668,668,0.0
669,669,0.0
670,670,0.0
671,671,0.0
672,672,0.0
