,day,value
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,0.0
25,25,0.0
26,26,0.0
27,27,0.0
28,28,0.0
29,29,0.0
30,30,0.0
31,31,0.0
32,32,0.0
33,33,0.0
34,34,0.0
35,35,0.0
36,36,0.0
37,37,0.0
38,38,0.0
39,39,13.52
40,40,7.749999999999999
41,41,0.0
42,42,0.0
43,43,5.49
44,44,0.0
45,45,0.0
46,46,0.0
47,47,0.0
48,48,0.0
49,49,0.0
50,50,0.0
51,51,0.0
52,52,9.64
53,53,0.0
54,54,0.0
55,55,0.0
56,56,0.0
57,57,0.0
58,58,0.0
59,59,5.32
60,60,0.0
61,61,0.0
62,62,0.0
63,63,0.0
64,64,0.0
65,65,0.0
66,66,0.0
67,67,0.0
68,68,0.0
69,69,0.0
70,70,0.0
71,71,0.0
72,72,0.0
73,73,0.0
74,74,0.0
75,75,0.0
76,76,31.370000000000008
77,77,0.0
78,78,9.170000000000002
79,79,0.0
80,80,0.0
81,81,0.0
82,82,0.0
83,83,0.0
84,84,0.0
85,85,0.0
86,86,0.0
87,87,0.0
88,88,0.0
89,89,0.0
90,90,0.0
91,91,6.38
92,92,0.0
93,93,0.0
94,94,2.0
95,95,0.0
96,96,0.0
97,97,0.0
98,98,0.0
99,99,15.0
100,100,0.0
101,101,0.0
102,102,0.0
103,103,0.0
104,104,0.0
105,105,0.0
106,106,0.0
107,107,0.0
108,108,0.0
109,109,0.0
110,110,0.0
111,111,0.0
112,112,0.0
113,113,48.60000000000001
114,114,0.0
115,115,0.0
116,116,0.0
117,117,0.0
118,118,0.0
119,119,0.0
120,120,0.0
121,121,0.0
122,122,0.0
123,123,0.0
124,124,0.33
125,125,32.599999999999994
126,126,0.0
127,127,15.660000000000002
128,128,0.0
129,129,0.0
130,130,0.0
131,131,0.0
132,132,0.0
133,133,0.0
134,134,0.0
135,135,0.0
136,136,0.0
137,137,0.0
138,138,0.0
139,139,0.0
140,140,0.0
141,141,0.0
142,142,0.0
143,143,0.0
144,144,0.0
145,145,0.0
146,146,0.0
147,147,39.03
148,148,0.0
149,149,0.0
150,150,0.0
151,151,0.0
152,152,0.0
153,153,0.0
154,154,0.0
155,155,0.0
156,156,0.0
157,157,0.0
158,158,0.0
159,159,0.0
160,160,0.0
161,161,0.0
162,162,0.0
163,163,0.0
164,164,52.390000000000015
165,165,0.0
166,166,0.0
167,167,0.0
168,168,0.0
169,169,0.0
170,170,0.0
171,171,0.0
172,172,2.43
173,173,38.53
174,174,0.49
175,175,0.0
176,176,0.0
177,177,0.0
178,178,71.66999999999999
179,179,0.0
180,180,0.0
181,181,17.0
182,182,0.0
183,183,43.33
184,184,0.0
185,185,0.0
186,186,0.0
187,187,48.38
188,188,12.0
189,189,84.70000000000002
190,190,0.0
191,191,3.39
192,192,16.47
193,193,0.0
194,194,0.0
195,195,10.0
196,196,0.0
197,197,0.0
198,198,0.0
199,199,0.0
200,200,0.0
201,201,278.71
202,202,62.490000000000016
203,203,0.0
204,204,0.0
205,205,0.0
206,206,0.0
207,207,0.0
208,208,16.900000000000002
209,209,0.0
210,210,60.85000000000001
211,211,0.0
212,212,0.0
213,213,39.150000000000006
214,214,0.0
215,215,0.0
216,216,0.0
217,217,0.0
218,218,0.0
219,219,17.78
220,220,0.0
221,221,0.0
222,222,13.36
223,223,0.0
224,224,13.15
225,225,0.0
226,226,0.0
227,227,64.56
228,228,9.35
229,229,0.0
230,230,17.0
231,231,0.0
232,232,0.0
233,233,0.0
234,234,0.0
235,235,0.0
236,236,0.0
237,237,0.0
238,238,0.0
239,239,0.0
240,240,18.5
241,241,12.0
242,242,0.0
243,243,0.0
244,244,14.510000000000002
245,245,26.25
246,246,0.0
247,247,7.31
248,248,0.0
249,249,0.0
250,250,75.92
251,251,0.0
252,252,0.0
253,253,0.0
254,254,0.0
255,255,0.0
256,256,14.52
257,257,0.0
258,258,0.0
259,259,23.119999999999997
260,260,0.0
261,261,84.88
262,262,0.0
263,263,1.0
264,264,0.0
265,265,0.0
266,266,0.0
267,267,0.0
268,268,70.24000000000001
269,269,12.5
270,270,0.0
271,271,10.200000000000001
272,272,0.0
273,273,24.0
274,274,17.990000000000002
275,275,0.0
276,276,4.41
277,277,0.0
278,278,0.0
279,279,0.0
280,280,0.0
281,281,0.0
282,282,0.0
283,283,0.0
284,284,19.17
285,285,0.0
286,286,0.0
287,287,0.0
288,288,0.0
289,289,0.0
290,290,0.0
291,291,0.0
292,292,0.0
293,293,0.0
294,294,0.0
295,295,0.0
296,296,0.0
297,297,0.0
298,298,0.0
299,299,0.0
300,300,42.63
301,301,0.0
302,302,0.0
303,303,0.0
304,304,0.0
305,305,0.0
306,306,0.0
307,307,0.0
308,308,12.57
309,309,2.0
310,310,5.74
311,311,12.41
312,312,0.0
313,313,0.0
314,314,6.33
315,315,0.0
316,316,0.0
317,317,15.14
318,318,0.0
319,319,0.0
320,320,0.0
321,321,0.0
322,322,0.0
323,323,0.0
324,324,0.0
325,325,0.0
326,326,0.0
327,327,0.0
328,328,0.0
329,329,0.0
330,330,15.26
331,331,0.0
332,332,0.0
333,333,0.0
334,334,21.05
335,335,0.0
336,336,0.0
337,337,8.19
338,338,0.0
339,339,0.0
340,340,0.0
341,341,20.13
342,342,0.0
343,343,0.0
344,344,0.0
345,345,0.0
346,346,0.0
347,347,0.0
348,348,0.0
349,349,0.0
350,350,0.0
351,351,0.0
352,352,0.0
353,353,0.0
354,354,0.0
355,355,0.0
356,356,0.0
357,357,0.0
358,358,0.0
359,359,0.0
360,360,29.42
361,361,0.0
362,362,0.0
363,363,0.0
364,364,0.0
365,365,0.0
366,366,0.0
367,367,0.0
368,368,0.0
369,369,0.0
370,370,0.0
371,371,0.0
372,372,0.0
373,373,0.0
374,374,20.5
375,375,0.0
376,376,0.0
377,377,0.0
378,378,0.0
379,379,0.0
380,380,0.0
381,381,0.0
382,382,0.0
383,383,0.0
384,384,0.0
385,385,0.0
386,386,0.0
387,387,0.0
388,388,25.389999999999997
389,389,0.0
390,390,0.0
391,391,0.0
392,392,0.0
393,393,0.0
394,394,69.18000000000002
395,395,0.0
396,396,13.31
397,397,3.02
398,398,31.62
399,399,0.0
400,400,0.0
401,401,0.0
402,402,30.939999999999998
403,403,0.0
404,404,0.0
405,405,24.490000000000002
406,406,17.360000000000003
407,407,140.98999999999998
408,408,0.0
409,409,19.080000000000002
410,410,0.0
411,411,0.0
412,412,40.169999999999995
413,413,0.0
414,414,26.68
415,415,0.0
416,416,14.0
417,417,3.38
418,418,0.0
419,419,0.0
420,420,34.25000000000001
421,421,0.0
422,422,0.0
423,423,0.0
424,424,0.0
425,425,0.0
426,426,0.0
427,427,0.0
428,428,2.67
429,429,0.0
430,430,0.0
431,431,21.87
432,432,0.0
433,433,0.0
434,434,0.0
435,435,9.56
436,436,0.0
437,437,0.0
438,438,0.0
439,439,0.0
440,440,48.59
441,441,16.880000000000003
442,442,21.78
443,443,48.050000000000004
444,444,2.38
445,445,3.16
446,446,7.67
447,447,17.5
448,448,0.0
449,449,14.72
450,450,260.83000000000004
451,451,0.0
452,452,0.0
453,453,32.69
454,454,16.43
455,455,4.39
456,456,0.0
457,457,0.0
458,458,22.590000000000003
459,459,0.0
460,460,0.0
461,461,0.0
462,462,66.65
463,463,0.0
464,464,5.77
465,465,0.0
466,466,10.98
467,467,25.0
468,468,0.0
469,469,36.15
470,470,20.0
471,471,21.5
472,472,0.0
473,473,0.0
474,474,0.0
475,475,0.0
476,476,0.0
477,477,19.889999999999997
478,478,76.72
479,479,0.0
480,480,25.06
481,481,0.0
482,482,6.8100000000000005
483,483,43.79
484,484,5.48
485,485,1.5
486,486,0.0
487,487,0.0
488,488,13.150000000000002
489,489,0.0
490,490,0.0
491,491,6.739999999999999
492,492,0.0
493,493,0.0
494,494,0.0
495,495,0.0
496,496,0.0
497,497,0.0
498,498,0.0
499,499,120.9
500,500,0.0
501,501,0.0
502,502,0.0
503,503,95.89
504,504,0.0
505,505,0.0
506,506,0.0
507,507,0.0
508,508,0.0
509,509,0.0
510,510,0.0
511,511,0.0
512,512,0.0
513,513,0.0
514,514,0.0
515,515,26.389999999999997
516,516,0.0
517,517,0.0
518,518,0.0
519,519,0.0
520,520,0.0
521,521,0.0
522,522,0.0
523,523,7.15
524,524,14.540000000000001
525,525,0.0
526,526,14.239999999999998
527,527,0.0
528,528,0.0
529,529,0.0
530,530,17.66
531,531,0.0
532,532,0.0
533,533,0.0
534,534,0.0
535,535,0.0
536,536,0.0
537,537,0.0
538,538,0.0
539,539,5.3
540,540,0.0
541,541,15.949999999999998
542,542,0.0
543,543,0.0
544,544,0.0
545,545,0.0
546,546,10.530000000000001
547,547,0.0
548,548,0.5
549,549,0.0
550,550,0.0
551,551,1.5
552,552,0.0
553,553,43.44
554,554,0.0
555,555,21.04
556,556,0.0
557,557,0.0
558,558,24.650000000000006
559,559,0.0
560,560,0.0
561,561,23.050000000000004
562,562,0.0
563,563,0.0
564,564,0.0
565,565,16.43
566,566,0.0
567,567,0.0
568,568,21.919999999999998
569,569,23.42
570,570,21.59
571,571,5.129999999999999
572,572,26.53
573,573,0.0
574,574,0.0
575,575,3.49
576,576,0.0
577,577,0.0
578,578,0.0
579,579,0.0
580,580,0.0
581,581,54.63
582,582,0.0
583,583,0.0
584,584,0.0
585,585,0.0
586,586,0.0
587,587,0.0
588,588,12.01
589,589,7.739999999999999
590,590,0.0
591,591,0.0
592,592,27.869999999999997
593,593,0.0
594,594,0.0
595,595,0.0
596,596,0.0
597,597,0.0
598,598,0.0
599,599,0.0
600,600,0.0
601,601,0.0
602,602,31.169999999999995
603,603,0.0
604,604,8.24
605,605,0.0
606,606,0.0
607,607,2.88
608,608,0.0
609,609,0.0
610,610,0.0
611,611,0.0
612,612,0.0
613,613,0.0
614,614,0.0
615,615,0.0
616,616,0.0
617,617,4.24
618,618,0.0
619,619,8.95
620,620,0.0
621,621,0.0
622,622,0.0
623,623,0.0
624,624,10.959999999999999
625,625,0.0
626,626,0.0
627,627,0.0
628,628,15.65
629,629,0.0
630,630,7.19
631,631,14.27
632,632,1.99
633,633,22.609999999999996
634,634,0.0
635,635,16.14
636,636,1.15
637,637,0.0
638,638,0.0
639,639,11.39
640,640,0.0
641,641,12.17
642,642,41.28
643,643,0.0
644,644,25.860000000000003
645,645,0.0
646,646,0.0
647,647,0.0
648,648,6.99
649,649,1.5
650,650,1.99
651,651,0.0
652,652,49.480000000000004
653,653,0.0
654,654,0.0
655,655,3.98
656,656,8.18
657,657,1.99
658,658,0.0
659,659,0.0
